ru_greeting,"Привет, рад видеть тебя! С удовольствием помогу тебе c поступлением на наше направление. Пожалуйста, выбери язык."
ru_default,"Если я не знаю ответ на твой вопрос, пожалуйста, напиши менеджеру программы Талгату (mlmanager@itmo.ru или galimzhanovitmo@gmail.com)."
Список документов,"📌*Список документов*\n\nДокументы, необходимые для подачи заявления в магистратуру:\n\n1. Заявление\n2. Оригинал и копию документа о высшем образовани\n3. Фотографии 3×4 см – 2 штуки\n4.Документ (документы), удостоверяющий личность, гражданство\n\n[Инструкция по заполнению документов](https://abit.itmo.ru/page/91/).\n\nПрием документов начинается *1 февраля* и завершается *3 августа 2020 г*. Документы необходимо подавать в приемную комиссию университета по адресу: Санкт-Петербург, Кронверкский пр., 49. Приемная комиссия работает: понедельник - пятница с 10:00 до 17:00.\n\n*Контакты*: (812) 457-18-58, magistr@itmo.ru\n
Документы в электронной форме принимаются через личный кабинет в информационной системе «Поступление 2020» на [сайте](http://abit.itmo.ru/).\n\n
[Подробнее о правилах приема в магистратуру](https://abit.itmo.ru/page/79/)"
Вступ,"📎*Вступительный экзамен*\n\nПрием заявлений и документов, необходимых для участия во вступительном экзамене, проводится с 1 февраля по 3 августа 2020 г.\n\n[О процедуре вступительного экзамена](https://abit.itmo.ru/page/79/#Ekz)\n\nСписок вопросов доступен в разделе программы на сайте Поступление 2020: https://abit.itmo.ru/program/13382/.\n\n*Расписание экзаменов находится в процессе подготовки, следите за обновлениями.*\n\n
Результаты можно будет посмотреть на https://abit.itmo.ru/\n\nВ связи с ухудшающейся обстановкой в мире, связанной с коронавирусом, есть вероятность, что все экзамены будут дистанционными. Следи за объявлениями на сайте!"
Диста,"📎*Дистанционный экзамен*\n\nДистанционные экзамены проводятся в период с начала приема документов по 4 августа 2020 года. Прием заявлений и документов, необходимых для поступления, производится с 1 февраля по 3 августа 2020 г.\n\n[Подробнее о дистанционном вступительном экзамене](https://abit.itmo.ru/page/79/#Dist%20ekz)\n\n
В связи с ухудшающейся обстановкой в мире, связанной с коронавирусом, есть вероятность, что все экзамены будут дистанционными. Следи за объявлениями на сайте!"
Конку,"🏆*Конкурс Портфолио*\n\nКонкурс портфолио уже идет, ты можешь заполнить анкету в личном кабинете на сайте Поступление 2020 и прикрепить портфолио для поступления на магистерскую программу.\n\n
[Подробнее](https://abit.itmo.ru/page/53/)\n\nПодача заявки с портфолио с 1 февраля 2020 года по 8 июня 2020 года. Результаты конкурса - 20 июня 2020 года.\n\nЕсли ты не проходишь по конкурсу Портфолио на нашу программу, у тебя будет шанс подать документы на участие во вступительном экзамене до 3 августа 2020 года. 
"
Я - П,"🏆*Я - Профессионал*\n\nМы автоматически принимаем на программу победителей олимпиады “Я - профессионал” по следующим направлениям:\n\n
Искусственный интеллект\nПрограммирование и информационные технологии\nЯзыкознание и литературоведение\n\nЕсли ты являешься победителем олимпиады по перечисленным направлениям, пожалуйста, ознакомься с информацией в правилах приема: https://abit.itmo.ru/page/79/#razdel4 (пункт 4.18)"
КМУ,"🎓*КМУ*\n\nПодача заявок на Конгресс молодых ученых уже, к сожалению прошла. Результаты будут объявлены до 18 апреля 2020 года.\n\nЕсли ты являешься победителем докладов Конгресса молодых ученых по направлению “Междисциплинарные исследования” в 2020 году, пожалуйста, ознакомьтесь с информацией в [соответствующем разделе правил приема](https://abit.itmo.ru/page/79/#KMU%20pravila) 2020 года."
Информация о поступлении,"❗️*Информация о поступлении*\n\n*Форма обучения*: Очная, 2 года\n*Количество мест*: 25 бюджетных, 15 контрактных\n\n*Вступительные испытания*:\n1. Вступительный экзамен / Дистанционный экзамен\n2. Конкурс портфолио\n3. Медалист/победитель ""Я-профессионал“\n4. Конкурс докладов «Конгресс молодых ученых»\n\n*Язык обучения*: английский/ русский\n*Стоимость обучения*:\n242 000 для граждан РФ\n262 000 для иностранных граждан\n\n*Начало обучения*: сентябрь 2020"
Информация о программе,"💙*Информация о программе*\n\n«Data, Culture and Visualization» — одна из немногих в России магистратур, направленная на подготовку востребованных специалистов в сфере Digital Humanities. Что это такое? Цифровые гуманитарные науки (или Digital Humanities) - это междисциплинарная область, в которой объединяются классическая методология гуманитарных наук и компьютерные науки. Digital humanities включают в себя создание цифровых архивов, текстовых коллекций, виртуальных музеев, баз данных, анализ собранных данных и визуализацию результатов. В таком многогранном исследовательском поле сложно не потеряться, для этого и существует наша магистерская программа - помочь заинтересованным в цифровизации гуманитарного знания молодым ученым найти свою тему и развивать свое исследование в новом направлении.\n\nСтуденты нашей программы имеют многочисленные возможности во время обучения в магистратуре. Во-первых, наша программа предоставляет возможность обменного семестра в ведущих вузах мира. Во-вторых, помимо обменного семестра, программа предоставляет возможность участия в международных семинарах, конференциях и различных школах, которые проводят как российские так и зарубежные университеты. Помимо всего прочего, студенты смогут участвовать в мероприятиях, которые организует DH Center, например, ежегодный фестиваль цифровых гуманитарных наук SPBDHWeek. В-третьих, студенты уже во время своего обучения имеют возможность проявить полученные навыки и знания в реальных проектах DH Center в университете ИТМО. Подробнее о проектах, которыми занимается центр цифровых гуманитарных исследований можно почитать на нашем [сайте](dh.itmo.ru).
"
